MedDRA Code	PT	SOC
10073612	Instillation site hypersensitivity	General disorders and administration site conditions
10073613	Instillation site induration	General disorders and administration site conditions
10073614	Instillation site infection	Infections and infestations
10073615	Instillation site inflammation	General disorders and administration site conditions
10073616	Instillation site necrosis	General disorders and administration site conditions
10073617	Instillation site nodule	General disorders and administration site conditions
10073618	Instillation site odour	General disorders and administration site conditions
10073619	Instillation site oedema	General disorders and administration site conditions
10073620	Instillation site papules	General disorders and administration site conditions
10073621	Instillation site pustules	Infections and infestations
10073622	Instillation site rash	General disorders and administration site conditions
10073623	Instillation site scab	General disorders and administration site conditions
10073624	Instillation site swelling	General disorders and administration site conditions
10073625	Instillation site thrombosis	General disorders and administration site conditions
10073626	Instillation site ulcer	General disorders and administration site conditions
10073627	Instillation site urticaria	General disorders and administration site conditions
10073628	Instillation site vesicles	General disorders and administration site conditions
10073629	Instillation site warmth	General disorders and administration site conditions
10073630	Instillation site bruise	General disorders and administration site conditions
10073779	Application site laceration	General disorders and administration site conditions
10074535	Application site hypertrophy	General disorders and administration site conditions
10074585	Application site hypoaesthesia	General disorders and administration site conditions
10074587	Instillation site hypoaesthesia	General disorders and administration site conditions
10075546	Application site hypertrichosis	General disorders and administration site conditions
10075999	Application site abscess sterile	General disorders and administration site conditions
10076000	Application site calcification	General disorders and administration site conditions
10076001	Application site coldness	General disorders and administration site conditions
10076002	Application site cyst	General disorders and administration site conditions
10076003	Application site dysaesthesia	General disorders and administration site conditions
10076004	Application site extravasation	General disorders and administration site conditions
10076005	Application site fibrosis	General disorders and administration site conditions
10076006	Application site granuloma	General disorders and administration site conditions
10076007	Application site injury	General disorders and administration site conditions
10076008	Application site ischaemia	General disorders and administration site conditions
10076009	Application site joint discomfort	General disorders and administration site conditions
10076010	Application site joint effusion	General disorders and administration site conditions
10076011	Application site joint infection	Infections and infestations
10076012	Application site joint inflammation	General disorders and administration site conditions
10076013	Application site joint movement impairment	General disorders and administration site conditions
10076014	Application site joint pain	General disorders and administration site conditions
10076015	Application site joint erythema	General disorders and administration site conditions
10076016	Application site joint swelling	General disorders and administration site conditions
10076017	Application site joint warmth	General disorders and administration site conditions
10076018	Application site lymphadenopathy	General disorders and administration site conditions
10076019	Application site macule	General disorders and administration site conditions
10076020	Application site movement impairment	General disorders and administration site conditions
10076021	Application site nerve damage	General disorders and administration site conditions
10076022	Application site phlebitis	General disorders and administration site conditions
10076023	Application site plaque	General disorders and administration site conditions
10076024	Application site recall reaction	General disorders and administration site conditions
10076025	Application site streaking	General disorders and administration site conditions
10076026	Application site thrombosis	General disorders and administration site conditions
10076027	Application site vasculitis	General disorders and administration site conditions
10076092	Malabsorption from application site	General disorders and administration site conditions
10078380	Application site wound	General disorders and administration site conditions
10007811	Catheter site related reaction	General disorders and administration site conditions
10021542	Implant site reaction	General disorders and administration site conditions
10051099	Catheter site haemorrhage	General disorders and administration site conditions
10052264	Catheter site erythema	General disorders and administration site conditions
10052267	Catheter site inflammation	General disorders and administration site conditions
10052268	Catheter site pain	General disorders and administration site conditions
10052269	Catheter site phlebitis	General disorders and administration site conditions
10052270	Catheter site pruritus	General disorders and administration site conditions
10052271	Catheter site rash	General disorders and administration site conditions
10052272	Catheter site urticaria	General disorders and administration site conditions
10053183	Catheter site cellulitis	Infections and infestations
10053995	Implant site haemorrhage	General disorders and administration site conditions
10055662	Catheter site haematoma	General disorders and administration site conditions
10055909	Catheter site oedema	General disorders and administration site conditions
10056295	Catheter site necrosis	General disorders and administration site conditions
10056520	Catheter site infection	Infections and infestations
10057688	Catheter site discharge	General disorders and administration site conditions
10058062	Implant site irritation	General disorders and administration site conditions
10059650	Implant site infection	Infections and infestations
10063587	Catheter site bruise	General disorders and administration site conditions
10063774	Implant site cellulitis	Infections and infestations
10063775	Implant site discharge	General disorders and administration site conditions
10063776	Implant site oedema	General disorders and administration site conditions
10063778	Implant site erosion	General disorders and administration site conditions
10063779	Implant site erythema	General disorders and administration site conditions
10063780	Implant site haematoma	General disorders and administration site conditions
10063781	Implant site inflammation	General disorders and administration site conditions
10063782	Implant site pain	General disorders and administration site conditions
10063783	Implant site paraesthesia	General disorders and administration site conditions
10063784	Implant site phlebitis	General disorders and administration site conditions
10063785	Implant site pruritus	General disorders and administration site conditions
10063786	Implant site rash	General disorders and administration site conditions
10063787	Implant site urticaria	General disorders and administration site conditions
10063848	Implant site abscess	Infections and infestations
10063849	Implant site atrophy	General disorders and administration site conditions
10063850	Implant site bruising	General disorders and administration site conditions
10063852	Implant site calcification	General disorders and administration site conditions
10063853	Implant site coldness	General disorders and administration site conditions
10063854	Implant site cyst	General disorders and administration site conditions
10063855	Implant site dermatitis	General disorders and administration site conditions
10063856	Implant site extravasation	General disorders and administration site conditions
10063857	Implant site fibrosis	General disorders and administration site conditions
10063858	Implant site hypersensitivity	General disorders and administration site conditions
10063859	Implant site hypertrophy	General disorders and administration site conditions
10063860	Implant site induration	General disorders and administration site conditions
10063861	Implant site ischaemia	General disorders and administration site conditions
10063862	Implant site mass	General disorders and administration site conditions
10063863	Implant site necrosis	General disorders and administration site conditions
10063864	Implant site nerve injury	General disorders and administration site conditions
10063865	Implant site papules	General disorders and administration site conditions
10063866	Implant site pustules	Infections and infestations
10063867	Implant site swelling	General disorders and administration site conditions
10063868	Implant site thrombosis	General disorders and administration site conditions
10063869	Implant site ulcer	General disorders and administration site conditions
10063870	Implant site vesicles	General disorders and administration site conditions
10063871	Implant site warmth	General disorders and administration site conditions
10063873	Implant site scar	General disorders and administration site conditions
10063874	Implant site discolouration	General disorders and administration site conditions
10067996	Catheter site swelling	General disorders and administration site conditions
10068003	Catheter site irritation	General disorders and administration site conditions
10068607	Catheter site erosion	General disorders and administration site conditions
10068688	Implant site exfoliation	General disorders and administration site conditions
10068922	Implant site nodule	General disorders and administration site conditions
10072136	Catheter site abscess	Infections and infestations
10073412	Implant site hypoaesthesia	General disorders and administration site conditions
10073413	Implant site hyperaesthesia	General disorders and administration site conditions
10073414	Implant site pallor	General disorders and administration site conditions
10073415	Implant site photosensitivity	General disorders and administration site conditions
10073759	Catheter site extravasation	General disorders and administration site conditions
10073989	Catheter site vesicles	General disorders and administration site conditions
10073990	Catheter site calcification	General disorders and administration site conditions
10073991	Catheter site coldness	General disorders and administration site conditions
10073992	Catheter site dermatitis	General disorders and administration site conditions
10073993	Catheter site discolouration	General disorders and administration site conditions
10073994	Catheter site dryness	General disorders and administration site conditions
10073995	Catheter site eczema	General disorders and administration site conditions
10073996	Catheter site exfoliation	General disorders and administration site conditions
10073997	Catheter site fibrosis	General disorders and administration site conditions
10073998	Catheter site hypersensitivity	General disorders and administration site conditions
10073999	Catheter site hypertrophy	General disorders and administration site conditions
10074000	Catheter site induration	General disorders and administration site conditions
10074001	Catheter site injury	General disorders and administration site conditions
10074002	Catheter site ischaemia	General disorders and administration site conditions
10074003	Catheter site macule	General disorders and administration site conditions
10074004	Catheter site mass	General disorders and administration site conditions
10074005	Catheter site nodule	General disorders and administration site conditions
10074006	Catheter site hypoaesthesia	General disorders and administration site conditions
10074007	Catheter site pallor	General disorders and administration site conditions
10074008	Catheter site papule	General disorders and administration site conditions
10074009	Catheter site paraesthesia	General disorders and administration site conditions
10074010	Catheter site pustule	Infections and infestations
10074011	Catheter site scab	General disorders and administration site conditions
10074012	Catheter site scar	General disorders and administration site conditions
10074013	Catheter site ulcer	General disorders and administration site conditions
10074014	Catheter site vasculitis	General disorders and administration site conditions
10074015	Catheter site warmth	General disorders and administration site conditions
10075373	Implant site dehiscence	General disorders and administration site conditions
10075842	Catheter site granuloma	General disorders and administration site conditions
10079523	Catheter site thrombosis	General disorders and administration site conditions
10083599	Implant site injury	General disorders and administration site conditions
10022044	Injection site abscess	Infections and infestations
10022045	Injection site abscess sterile	General disorders and administration site conditions
10022046	Injection site anaesthesia	General disorders and administration site conditions
10022048	Injection site atrophy	General disorders and administration site conditions
10022052	Injection site bruising	General disorders and administration site conditions
10022055	Injection site cyst	General disorders and administration site conditions
10022056	Injection site dermatitis	General disorders and administration site conditions
10022059	Injection site erosion	General disorders and administration site conditions
10022061	Injection site erythema	General disorders and administration site conditions
10022062	Injection site extravasation	General disorders and administration site conditions
10022064	Injection site fibrosis	General disorders and administration site conditions
10022065	Injection site granuloma	General disorders and administration site conditions
10022066	Injection site haematoma	General disorders and administration site conditions
10022067	Injection site haemorrhage	General disorders and administration site conditions
10022071	Injection site hypersensitivity	General disorders and administration site conditions
10022072	Injection site hypertrophy	General disorders and administration site conditions
10022075	Injection site induration	General disorders and administration site conditions
10022076	Injection site infection	Infections and infestations
10022078	Injection site inflammation	General disorders and administration site conditions
10022079	Injection site irritation	General disorders and administration site conditions
10022081	Injection site mass	General disorders and administration site conditions
10022082	Injection site necrosis	General disorders and administration site conditions
10022083	Injection site nerve damage	General disorders and administration site conditions
10022085	Injection site oedema	General disorders and administration site conditions
10022086	Injection site pain	General disorders and administration site conditions
10022088	Injection site paraesthesia	General disorders and administration site conditions
10022090	Injection site phlebitis	General disorders and administration site conditions
10022093	Injection site pruritus	General disorders and administration site conditions
10022094	Injection site rash	General disorders and administration site conditions
10022095	Injection site reaction	General disorders and administration site conditions
10022104	Injection site thrombosis	General disorders and administration site conditions
10022105	Injection site ulcer	General disorders and administration site conditions
10022107	Injection site urticaria	General disorders and administration site conditions
10022111	Injection site vesicles	General disorders and administration site conditions
10022112	Injection site warmth	General disorders and administration site conditions
10025478	Malabsorption from injection site	General disorders and administration site conditions
10048648	Injection site ischaemia	General disorders and administration site conditions
10049260	Injection site joint swelling	General disorders and administration site conditions
10049261	Injection site joint pain	General disorders and administration site conditions
10049262	Injection site joint warmth	General disorders and administration site conditions
10050057	Injection site cellulitis	Infections and infestations
10050082	Injection site coldness	General disorders and administration site conditions
10051572	Injection site discolouration	General disorders and administration site conditions
10053396	Injection site photosensitivity reaction	General disorders and administration site conditions
10053425	Injection site swelling	General disorders and administration site conditions
10053979	Injection site joint movement impairment	General disorders and administration site conditions
10054266	Injection site discomfort	General disorders and administration site conditions
10054812	Injection site calcification	General disorders and administration site conditions
10054994	Injection site pustule	Infections and infestations
10056250	Injection site movement impairment	General disorders and administration site conditions
10057664	Injected limb mobility decreased	General disorders and administration site conditions
10057665	Injection site lymphadenopathy	General disorders and administration site conditions
10057880	Injection site nodule	General disorders and administration site conditions
10058729	Embolia cutis medicamentosa	General disorders and administration site conditions
10059009	Injection site scar	General disorders and administration site conditions
10064111	Injection site joint inflammation	General disorders and administration site conditions
10064494	Injection site joint effusion	General disorders and administration site conditions
10065600	Injection site discharge	General disorders and administration site conditions
10066041	Injection site pallor	General disorders and administration site conditions
10066044	Injection site papule	General disorders and administration site conditions
10066083	Injection site injury	General disorders and administration site conditions
10066210	Injection site scab	General disorders and administration site conditions
10066221	Injection site eczema	General disorders and administration site conditions
10066778	Injection site streaking	General disorders and administration site conditions
10066797	Injection site recall reaction	General disorders and administration site conditions
10067252	Injection site dryness	General disorders and administration site conditions
10067253	Injection site laceration	General disorders and administration site conditions
10067255	Injection site macule	General disorders and administration site conditions
10067995	Injection site vasculitis	General disorders and administration site conditions
10068689	Injection site exfoliation	General disorders and administration site conditions
10069124	Injection site dysaesthesia	General disorders and administration site conditions
10073174	Injection site plaque	General disorders and administration site conditions
10073418	Injection site hyperaesthesia	General disorders and administration site conditions
10073459	Injection site joint discomfort	General disorders and administration site conditions
10074586	Injection site hypoaesthesia	General disorders and administration site conditions
10074703	Injection site joint infection	Infections and infestations
10075313	Injection site hypertrichosis	General disorders and administration site conditions
10076327	Injection site joint erythema	General disorders and administration site conditions
10079124	Injection site telangiectasia	General disorders and administration site conditions
10079275	Injection site deformation	General disorders and administration site conditions
10079277	Injection site indentation	General disorders and administration site conditions
10081519	Injection site alopecia	General disorders and administration site conditions
10083040	Injection site panniculitis	General disorders and administration site conditions
10084588	Injection site muscle weakness	General disorders and administration site conditions
10084809	Injection site muscle atrophy	General disorders and administration site conditions
10001315	Administration site reaction	General disorders and administration site conditions
10049863	Puncture site abscess	Infections and infestations
10051101	Puncture site haemorrhage	General disorders and administration site conditions
10053996	Puncture site reaction	General disorders and administration site conditions
10054092	Vessel puncture site haemorrhage	General disorders and administration site conditions
10058049	Administration site pain	General disorders and administration site conditions
10062611	Oral administration complication	General disorders and administration site conditions
10063677	Puncture site infection	Infections and infestations
10063880	Vessel puncture site reaction	General disorders and administration site conditions
10063881	Vessel puncture site bruise	General disorders and administration site conditions
10063960	Vessel puncture site discharge	General disorders and administration site conditions
10065599	Puncture site pain	General disorders and administration site conditions
10065647	Systemic leakage	General disorders and administration site conditions
10065902	Vessel puncture site haematoma	General disorders and administration site conditions
10066214	Administration site infection	Infections and infestations
10066951	Vessel puncture site pain	General disorders and administration site conditions
10066988	Vessel puncture site anaesthesia	General disorders and administration site conditions
10067254	Vessel puncture site pruritus	General disorders and administration site conditions
10067519	Vessel puncture site paraesthesia	General disorders and administration site conditions
10067681	Puncture site induration	General disorders and administration site conditions
10068791	Administration site abscess	Infections and infestations
10068895	Puncture site discharge	General disorders and administration site conditions
10070647	Vessel puncture site inflammation	General disorders and administration site conditions
10070648	Vessel puncture site swelling	General disorders and administration site conditions
10070649	Vessel puncture site thrombosis	General disorders and administration site conditions
10071156	Administration site rash	General disorders and administration site conditions
10072161	Puncture site swelling	General disorders and administration site conditions
10073156	Vessel puncture site induration	General disorders and administration site conditions
10073157	Vessel puncture site infection	Infections and infestations
10074069	Puncture site oedema	General disorders and administration site conditions
10074588	Vessel puncture site hypoaesthesia	General disorders and administration site conditions
10074704	Administration site inflammation	General disorders and administration site conditions
10074759	Puncture site erythema	General disorders and administration site conditions
10074760	Vessel puncture site erythema	General disorders and administration site conditions
10074761	Puncture site hypoaesthesia	General disorders and administration site conditions
10074796	Administration site erythema	General disorders and administration site conditions
10074993	Vessel puncture site phlebitis	General disorders and administration site conditions
10075094	Administration site bruise	General disorders and administration site conditions
10075095	Administration site cellulitis	Infections and infestations
10075096	Administration site dermatitis	General disorders and administration site conditions
10075097	Administration site discharge	General disorders and administration site conditions
10075098	Administration site discolouration	General disorders and administration site conditions
10075099	Administration site eczema	General disorders and administration site conditions
10075100	Administration site haematoma	General disorders and administration site conditions
10075101	Administration site haemorrhage	General disorders and administration site conditions
10075102	Administration site hypersensitivity	General disorders and administration site conditions
10075103	Administration site odour	General disorders and administration site conditions
10075104	Administration site oedema	General disorders and administration site conditions
10075105	Administration site paraesthesia	General disorders and administration site conditions
10075106	Administration site pruritus	General disorders and administration site conditions
10075107	Administration site swelling	General disorders and administration site conditions
10075108	Administration site ulcer	General disorders and administration site conditions
10075109	Administration site urticaria	General disorders and administration site conditions
10075314	Administration site hypertrichosis	General disorders and administration site conditions
10075765	Administration site nodule	General disorders and administration site conditions
10075922	Administration site abscess sterile	General disorders and administration site conditions
10075923	Administration site anaesthesia	General disorders and administration site conditions
10075924	Administration site atrophy	General disorders and administration site conditions
10075925	Administration site calcification	General disorders and administration site conditions
10075926	Administration site coldness	General disorders and administration site conditions
10075927	Administration site cyst	General disorders and administration site conditions
10075928	Administration site discomfort	General disorders and administration site conditions
10075929	Administration site dryness	General disorders and administration site conditions
10075930	Administration site dysaesthesia	General disorders and administration site conditions
10075931	Administration site erosion	General disorders and administration site conditions
10075932	Administration site exfoliation	General disorders and administration site conditions
10075933	Administration site extravasation	General disorders and administration site conditions
10075934	Administration site fibrosis	General disorders and administration site conditions
10075935	Administration site granuloma	General disorders and administration site conditions
10075936	Administration site hyperaesthesia	General disorders and administration site conditions
10075937	Administration site hypertrophy	General disorders and administration site conditions
10075938	Administration site hypoaesthesia	General disorders and administration site conditions
10075939	Administration site induration	General disorders and administration site conditions
10075940	Administration site injury	General disorders and administration site conditions
10075941	Administration site irritation	General disorders and administration site conditions
10075942	Administration site ischaemia	General disorders and administration site conditions
10075943	Administration site joint discomfort	General disorders and administration site conditions
10075944	Administration site joint effusion	General disorders and administration site conditions
10075945	Administration site joint infection	Infections and infestations
10075946	Administration site joint inflammation	General disorders and administration site conditions
10075947	Administration site joint movement impairment	General disorders and administration site conditions
10075948	Administration site joint pain	General disorders and administration site conditions
10075949	Administration site joint erythema	General disorders and administration site conditions
10075950	Administration site joint warmth	General disorders and administration site conditions
10075951	Administration site laceration	General disorders and administration site conditions
10075952	Administration site lymphadenopathy	General disorders and administration site conditions
10075953	Administration site macule	General disorders and administration site conditions
10075954	Administration site mass	General disorders and administration site conditions
10075955	Administration site movement impairment	General disorders and administration site conditions
10075956	Administration site necrosis	General disorders and administration site conditions
10075957	Administration site nerve damage	General disorders and administration site conditions
10075958	Administration site pallor	General disorders and administration site conditions
10075959	Administration site papule	General disorders and administration site conditions
10075960	Administration site phlebitis	General disorders and administration site conditions
10075961	Administration site photosensitivity reaction	General disorders and administration site conditions
10075962	Administration site plaque	General disorders and administration site conditions
10075963	Administration site pustule	Infections and infestations
10075964	Administration site recall reaction	General disorders and administration site conditions
10075965	Administration site scab	General disorders and administration site conditions
10075966	Administration site streaking	General disorders and administration site conditions
10075967	Administration site scar	General disorders and administration site conditions
10075968	Administration site thrombosis	General disorders and administration site conditions
10075969	Administration site vasculitis	General disorders and administration site conditions
10075970	Administration site vesicles	General disorders and administration site conditions
10075971	Administration site warmth	General disorders and administration site conditions
10076091	Malabsorption from administration site	General disorders and administration site conditions
10076838	Vessel puncture site occlusion	General disorders and administration site conditions
10077117	Vessel puncture site rash	General disorders and administration site conditions
10077414	Vessel puncture site cellulitis	Infections and infestations
10077813	Vessel puncture site vesicles	General disorders and administration site conditions
10078035	Puncture site hernia	General disorders and administration site conditions
10079278	Administration site indentation	General disorders and administration site conditions
10081957	Puncture site haematoma	General disorders and administration site conditions
10082035	Puncture site bruise	General disorders and administration site conditions
10082193	Administration site reaction neonatal	General disorders and administration site conditions
10082766	Administration site acne	General disorders and administration site conditions
10083594	Administration site wound	General disorders and administration site conditions
10083595	Puncture site injury	General disorders and administration site conditions
10083596	Challenge site reaction	General disorders and administration site conditions
10083598	Vessel puncture site injury	General disorders and administration site conditions
10084090	Puncture site pruritus	General disorders and administration site conditions
10048634	Infusion site erythema	General disorders and administration site conditions
10053482	Infusion site induration	General disorders and administration site conditions
10053483	Infusion site pain	General disorders and administration site conditions
10053484	Infusion site warmth	General disorders and administration site conditions
10053505	Infusion site swelling	General disorders and administration site conditions
10053663	Infusion site phlebitis	General disorders and administration site conditions
10053664	Infusion site pruritus	General disorders and administration site conditions
10053998	Infusion site oedema	General disorders and administration site conditions
10054995	Infusion site ulcer	General disorders and administration site conditions
10054996	Infusion site reaction	General disorders and administration site conditions
10054997	Infusion site infection	Infections and infestations
10056270	Infusion site inflammation	General disorders and administration site conditions
10058464	Infusion site abscess	Infections and infestations
10059203	Infusion site bruising	General disorders and administration site conditions
10059830	Infusion site rash	General disorders and administration site conditions
10064774	Infusion site extravasation	General disorders and administration site conditions
10065454	Infusion site atrophy	General disorders and administration site conditions
10065455	Infusion site cellulitis	Infections and infestations
10065456	Infusion site coldness	General disorders and administration site conditions
10065457	Infusion site cyst	General disorders and administration site conditions
10065458	Infusion site dermatitis	General disorders and administration site conditions
10065460	Infusion site discolouration	General disorders and administration site conditions
10065461	Infusion site erosion	General disorders and administration site conditions
10065462	Infusion site fibrosis	General disorders and administration site conditions
10065463	Infusion site haematoma	General disorders and administration site conditions
10065464	Infusion site haemorrhage	General disorders and administration site conditions
10065471	Infusion site hypersensitivity	General disorders and administration site conditions
10065472	Infusion site hypertrophy	General disorders and administration site conditions
10065473	Infusion site irritation	General disorders and administration site conditions
10065474	Infusion site ischaemia	General disorders and administration site conditions
10065475	Infusion site lymphadenopathy	General disorders and administration site conditions
10065476	Infusion site mass	General disorders and administration site conditions
10065477	Infusion site mobility decreased	General disorders and administration site conditions
10065478	Infusion site necrosis	General disorders and administration site conditions
10065479	Infusion site nerve damage	General disorders and administration site conditions
10065484	Infusion site nodule	General disorders and administration site conditions
10065485	Infusion site paraesthesia	General disorders and administration site conditions
10065486	Infusion site photosensitivity reaction	General disorders and administration site conditions
10065487	Infusion site pustule	Infections and infestations
10065488	Infusion site scar	General disorders and administration site conditions
10065489	Infusion site thrombosis	General disorders and administration site conditions
10065490	Infusion site urticaria	General disorders and administration site conditions
10065491	Infusion site vesicles	General disorders and administration site conditions
10065497	Infusion site anaesthesia	General disorders and administration site conditions
10065505	Infusion site granuloma	General disorders and administration site conditions
10065984	Infusion site hypoaesthesia	General disorders and administration site conditions
10066211	Infusion site scab	General disorders and administration site conditions
10068687	Infusion site exfoliation	General disorders and administration site conditions
10069667	Infusion site discomfort	General disorders and administration site conditions
10074850	Infusion site eczema	General disorders and administration site conditions
10074851	Infusion site vasculitis	General disorders and administration site conditions
10076063	Infusion site abscess sterile	General disorders and administration site conditions
10076064	Infusion site calcification	General disorders and administration site conditions
10076065	Infusion site discharge	General disorders and administration site conditions
10076066	Infusion site dryness	General disorders and administration site conditions
10076067	Infusion site dysaesthesia	General disorders and administration site conditions
10076068	Infusion site hyperaesthesia	General disorders and administration site conditions
10076069	Infusion site hypertrichosis	General disorders and administration site conditions
10076070	Infusion site injury	General disorders and administration site conditions
10076071	Infusion site joint discomfort	General disorders and administration site conditions
10076072	Infusion site joint effusion	General disorders and administration site conditions
10076073	Infusion site joint infection	Infections and infestations
10076074	Infusion site joint inflammation	General disorders and administration site conditions
10076075	Infusion site joint movement impairment	General disorders and administration site conditions
10076076	Infusion site joint pain	General disorders and administration site conditions
10076077	Infusion site joint erythema	General disorders and administration site conditions
10076078	Infusion site joint swelling	General disorders and administration site conditions
10076079	Infusion site joint warmth	General disorders and administration site conditions
10076080	Infusion site laceration	General disorders and administration site conditions
10076081	Infusion site macule	General disorders and administration site conditions
10076082	Infusion site pallor	General disorders and administration site conditions
10076083	Infusion site papule	General disorders and administration site conditions
10076084	Infusion site plaque	General disorders and administration site conditions
10076085	Infusion site recall reaction	General disorders and administration site conditions
10076086	Infusion site streaking	General disorders and administration site conditions
10082533	Infusion site eschar	General disorders and administration site conditions
10059079	Vaccination site erythema	General disorders and administration site conditions
